store_nbr,family,model_name,rmsle,mae,pred_mean,pred_variance
1,AUTOMOTIVE,Global_LightGBM,0.5037651505515277,2.068091827252817,3.72270785928993,0.22304030078191367
1,BABY CARE,Global_LightGBM,0.02172009833556634,0.021945034798708112,0.021945034798708112,6.153462925956335e-07
1,BEAUTY,Global_LightGBM,0.4298912805637893,1.6749066631619707,3.819827754584468,0.3608777125359091
1,BEVERAGES,Global_LightGBM,0.2590366414435165,288.05274296377047,2119.7549702118604,148764.6003991949
1,BOOKS,Global_LightGBM,0.13286968310171254,0.12476685011681048,0.12476685011681048,0.0063134840385349325
1,BREAD/BAKERY,Global_LightGBM,0.2918307644252221,60.29852572294725,328.9804241202457,4101.354042727382
1,CELEBRATION,Global_LightGBM,0.7679840756756308,6.027832417710337,12.77047479893692,18.500980209695133
1,CLEANING,Global_LightGBM,0.3660671684604182,137.3709039889421,663.0956120620982,19498.613910554668
1,DAIRY,Global_LightGBM,0.2829424756968365,121.29680654558211,709.7696205877746,16685.25976976228
1,DELI,Global_LightGBM,0.31135030295690663,23.10457405319975,136.53124445731225,632.3678192954366
1,EGGS,Global_LightGBM,0.2654215945590817,20.597141505982087,133.18110206372094,576.7310785025395
1,FROZEN FOODS,Global_LightGBM,0.31312380065489875,27.45970052148231,121.43867464486576,569.4991062844621
1,GROCERY I,Global_LightGBM,0.25189399353410025,339.2737942357482,2462.0183813684534,238173.74068330327
1,GROCERY II,Global_LightGBM,0.40931004275672134,5.346440162528358,18.44673610457645,19.34351712270557
1,HARDWARE,Global_LightGBM,0.6098845542284858,1.2316522072789675,1.3328565962401835,0.032670760300939475
1,HOME AND KITCHEN I,Global_LightGBM,0.6272172363200464,10.149888952090077,18.455076904456288,20.96335773617582
1,HOME AND KITCHEN II,Global_LightGBM,0.3224173823861414,6.185418140255132,21.93672219169903,19.41154899520682
1,HOME APPLIANCES,Global_LightGBM,0.33271007945424486,0.38696852902744006,0.38696852902744006,0.012424915014249123
1,HOME CARE,Global_LightGBM,0.37802437663271615,46.51121189400405,180.64415515373088,992.1006852648605
1,LADIESWEAR,Global_LightGBM,0.49275635072513524,5.335147037212919,10.586807572242712,2.4085925993039687
1,LAWN AND GARDEN,Global_LightGBM,0.33257822919270996,4.789801967608609,16.2037845629279,11.788013691401392
1,LINGERIE,Global_LightGBM,0.9457267497955085,6.1373330993779485,4.7365928424318815,1.0459471069420407
1,"LIQUOR,WINE,BEER",Global_LightGBM,0.28905046214206204,20.908810469489715,83.76371058600954,393.8533202911855
1,MAGAZINES,Global_LightGBM,0.511426307599434,2.837155215134914,4.354209676820628,0.45321440514460487
1,MEATS,Global_LightGBM,0.3145513762304024,72.42489758893221,261.4504466789206,6573.920468971839
1,PERSONAL CARE,Global_LightGBM,0.4085450564605701,42.19824845559024,141.82198233383687,580.2770352674421
1,PET SUPPLIES,Global_LightGBM,0.3340465947984328,1.351078191557217,3.8817471840219517,0.34983385762485825
1,PLAYERS AND ELECTRONICS,Global_LightGBM,0.6248547238630481,3.6335180160656004,5.9447227024499245,0.7375974802055777
1,POULTRY,Global_LightGBM,0.2529875268083637,55.02604613461976,307.017538355685,5064.272967967891
1,PREPARED FOODS,Global_LightGBM,0.41417379779662733,17.606947100287744,59.86766619439879,87.8853364517064
1,PRODUCE,Global_LightGBM,0.25427082707314913,475.12121186277653,1963.1420329091347,199321.45021336596
1,SCHOOL AND OFFICE SUPPLIES,Global_LightGBM,0.0518935775966917,0.05322066346753028,0.05322066346753028,5.293496421085412e-06
1,SEAFOOD,Global_LightGBM,0.48276589822716004,10.494193141606823,21.02522786789108,14.564259546295668
2,AUTOMOTIVE,Global_LightGBM,0.64553493441489,3.1577903553441518,4.860769055913197,2.199918635198115
2,BABY CARE,Global_LightGBM,0.022162030528098804,0.022387943555249448,0.022387943555249448,1.067183656025787e-06
2,BEAUTY,Global_LightGBM,0.37827568053032357,2.7163410057508393,6.012554623985949,1.3431665191726083
2,BEVERAGES,Global_LightGBM,0.2386284554640574,660.2294586907634,3287.823794572483,379962.3694629013
2,BOOKS,Global_LightGBM,0.01398005212448935,0.014058854141895998,0.014058854141895998,5.964058301452166e-07
2,BREAD/BAKERY,Global_LightGBM,0.12922888138790492,71.54660601296573,654.3696504948801,10773.99144702472
2,CELEBRATION,Global_LightGBM,0.33783966508186886,3.235051139416672,10.836787555624397,5.562882490130299
2,CLEANING,Global_LightGBM,0.2814797172980846,216.73278387339352,978.4328966017143,14547.139017341657
2,DAIRY,Global_LightGBM,0.18952693390169845,136.00029817199567,915.8913953021014,20769.056401075333
2,DELI,Global_LightGBM,0.1947864592217679,32.68158354770049,236.1787428400112,1053.2172276929125
2,EGGS,Global_LightGBM,0.13079447996262755,17.61551942909656,171.82386327417487,1158.442744843048
2,FROZEN FOODS,Global_LightGBM,0.2666557599119057,22.23762373811037,120.32785210051689,614.6847355196709
2,GROCERY I,Global_LightGBM,0.14446755471814407,453.92328352509406,3954.4642164732,252629.60847983538
2,GROCERY II,Global_LightGBM,0.8117731534733621,29.683038348197865,57.24021508160642,248.82396429200205
2,HARDWARE,Global_LightGBM,0.6066564920868968,1.2082619107182864,0.9926125451211038,0.05141780572610498
2,HOME AND KITCHEN I,Global_LightGBM,0.42977035971907473,7.886529154219784,14.165659299900083,5.3817112221766195
2,HOME AND KITCHEN II,Global_LightGBM,0.6681773367571621,17.958137292566033,22.141309419739702,18.248484278547227
2,HOME APPLIANCES,Global_LightGBM,0.22475512114019405,0.24844034163375978,0.24844034163375978,0.0027537123711960263
