store_nbr,family,adf_p_value,is_stationary,true_mean_sales,true_variance_sales,model_name,rmsle,mae,pred_mean,pred_variance
1,AUTOMOTIVE,0.001050394088497517,True,4.733333333333333,5.928888888888889,SARIMAX,0.5113979888790093,1.9804271435488074,4.509726593563879,0.26672915222782745
1,AUTOMOTIVE,0.001050394088497517,True,4.733333333333333,5.928888888888889,Prophet,0.5156346724234963,2.0766694459207584,4.598002919683074,0.7600610266853562
1,AUTOMOTIVE,0.001050394088497517,True,4.733333333333333,5.928888888888889,ARX-GARCH,0.5683199240293161,2.491086445308904,2.9685661982616423,0.026984797053066913
1,BABY CARE,0.0,True,0.0,0.0,SARIMAX,0.0,0.0,0.0,0.0
1,BABY CARE,0.0,True,0.0,0.0,Prophet,0.0,0.0,0.0,0.0
1,BABY CARE,0.0,True,0.0,0.0,ARX-GARCH,0.0,0.0,0.0,0.0
1,BEAUTY,0.0006247857204566041,True,3.933333333333333,5.528888888888888,SARIMAX,0.4467288416878014,1.7417856770785933,3.210049510850602,0.3557347345098462
1,BEAUTY,0.0006247857204566041,True,3.933333333333333,5.528888888888888,Prophet,0.450396921285881,1.6856459361378628,3.9046125210229325,0.21522512946247882
1,BEAUTY,0.0006247857204566041,True,3.933333333333333,5.528888888888888,ARX-GARCH,0.570169322567799,2.1223682175843868,2.1858283631358613,0.00255811661759383
1,BEVERAGES,0.025547052005514537,True,1976.8,340494.96,SARIMAX,0.3124681415921524,474.15553551302384,1855.4992628713603,275574.62437401473
1,BEVERAGES,0.025547052005514537,True,1976.8,340494.96,Prophet,0.2796692088034783,333.51116856716703,2040.1122754290031,120464.16528780614
1,BEVERAGES,0.025547052005514537,True,1976.8,340494.96,ARX-GARCH,0.645444932619739,939.0869567299594,1073.774349447625,28320.780676792612
1,BOOKS,0.12635538280198727,False,0.0,0.0,SARIMAX,0.20958592032423526,0.2324402043014192,0.2324402043014192,0.0005002722093769799
1,BOOKS,0.12635538280198727,False,0.0,0.0,Prophet,0.4550116415994509,0.5752234826955207,0.5752234826955207,0.0026058074216298893
1,BOOKS,0.12635538280198727,False,0.0,0.0,ARX-GARCH,0.10394111398667165,0.05244497593408459,0.05244497593408459,0.01215468772940299
1,BREAD/BAKERY,0.036402317809389864,True,306.1866,9257.491626858719,SARIMAX,0.3784598139621059,73.39766660328549,334.1695753681046,11316.854900920915
1,BREAD/BAKERY,0.036402317809389864,True,306.1866,9257.491626858719,Prophet,0.2863596053874445,54.04967898362223,338.55692735281133,6242.234749676237
1,BREAD/BAKERY,0.036402317809389864,True,306.1866,9257.491626858719,ARX-GARCH,0.3598448111106842,73.64949061534395,310.31682394851947,384.5897459499184
1,CELEBRATION,9.540264683231705e-16,True,10.466666666666667,47.44888888888889,SARIMAX,0.8665982721316046,6.2626441787495155,13.726050760131864,1.2693045519386852
1,CELEBRATION,9.540264683231705e-16,True,10.466666666666667,47.44888888888889,Prophet,0.925796608325165,8.021506546060039,17.320241666234026,12.078773008292268
1,CELEBRATION,9.540264683231705e-16,True,10.466666666666667,47.44888888888889,ARX-GARCH,1.5386303300764064,23.19331326793202,33.65997993459868,51.46653992207414
1,CLEANING,1.6316020667128603e-10,True,588.3333333333334,49924.622222222235,SARIMAX,0.48923709526592074,228.62095574541408,811.5824310195533,57000.779240048396
1,CLEANING,1.6316020667128603e-10,True,588.3333333333334,49924.622222222235,Prophet,0.26340869235607867,115.5960391481967,602.194074459572,28953.51737748274
